time,open,high,low,close,volume
2026-05-27 01:10:00,4515.42,4515.58,4507.7,4510.76,3029
2026-05-27 01:15:00,4510.7,4514.78,4508.63,4514.28,2127
2026-05-27 01:20:00,4514.26,4517.33,4512.2,4516.06,2357
2026-05-27 01:25:00,4516.11,4517.92,4514.9,4517.6,2156
2026-05-27 01:30:00,4517.44,4521.78,4516.59,4517.6,2401
2026-05-27 01:35:00,4517.58,4524.95,4517.56,4522.23,2504
2026-05-27 01:40:00,4522.22,4523.73,4519.73,4521.41,2054
2026-05-27 01:45:00,4521.39,4522.03,4518.46,4519.07,2130
2026-05-27 01:50:00,4519.08,4519.47,4515.42,4515.91,2255
2026-05-27 01:55:00,4515.9,4516.15,4512.65,4515.29,2398
2026-05-27 02:00:00,4515.32,4515.61,4508.07,4511.63,2634
2026-05-27 02:05:00,4511.48,4514.4,4508.7,4510.4,2358
2026-05-27 02:10:00,4510.39,4512.51,4508.7,4509.4,2006
2026-05-27 02:15:00,4509.32,4510.45,4505.07,4508.05,2067
2026-05-27 02:20:00,4508.11,4508.72,4504.97,4505.97,1856
2026-05-27 02:25:00,4506.04,4508.44,4504.92,4506.11,1873
2026-05-27 02:30:00,4506.16,4508.51,4503.62,4505.69,2184
2026-05-27 02:35:00,4505.63,4507.6,4502.4,4507.53,2320
2026-05-27 02:40:00,4507.55,4508.97,4506.43,4508.32,1732
2026-05-27 02:45:00,4508.35,4509.25,4506.28,4506.57,1879
2026-05-27 02:50:00,4506.58,4510.74,4505.98,4509.7,1677
2026-05-27 02:55:00,4509.5,4509.5,4506.03,4506.4,2002
2026-05-27 03:00:00,4506.43,4508.56,4505.51,4506.25,1584
2026-05-27 03:05:00,4506.23,4506.31,4502.34,4502.81,1296
2026-05-27 03:10:00,4502.73,4503.33,4500.35,4501.2,1584
2026-05-27 03:15:00,4501.21,4505.7,4499.68,4504.89,1715
2026-05-27 03:20:00,4504.9,4506.26,4502.51,4506.19,1246
2026-05-27 03:25:00,4506.13,4508.83,4505.48,4508.03,1022
2026-05-27 03:30:00,4508.02,4511.37,4507.33,4509.68,1411
2026-05-27 03:35:00,4509.7,4510.83,4508.09,4508.16,1323
2026-05-27 03:40:00,4508.17,4508.96,4506.19,4506.54,1131
2026-05-27 03:45:00,4506.55,4507.8,4503.2,4503.41,1352
2026-05-27 03:50:00,4503.42,4505.78,4503.14,4505.05,1243
2026-05-27 03:55:00,4505,4505.83,4504.45,4504.9,1043
2026-05-27 04:00:00,4504.95,4507.5,4504.38,4505.58,1275
2026-05-27 04:05:00,4505.59,4505.85,4503.23,4504.38,1304
2026-05-27 04:10:00,4504.45,4504.96,4503.36,4503.53,969
2026-05-27 04:15:00,4503.5,4504.81,4503.16,4504.43,1010
2026-05-27 04:20:00,4504.42,4506.55,4504.15,4506.55,1257
2026-05-27 04:25:00,4506.7,4507.6,4500.43,4501.35,1855
2026-05-27 04:30:00,4501.27,4501.71,4498,4500.16,2221
2026-05-27 04:35:00,4500.18,4500.99,4496.86,4499.18,2022
2026-05-27 04:40:00,4499.19,4499.72,4496.93,4498.38,1841
2026-05-27 04:45:00,4498.39,4500.96,4498.2,4500.27,1300
2026-05-27 04:50:00,4500.29,4501.35,4496.02,4496.44,1116
2026-05-27 04:55:00,4496.3,4496.97,4489.85,4491.04,2534
2026-05-27 05:00:00,4490.98,4493.25,4484.82,4487.77,2973
2026-05-27 05:05:00,4487.97,4489.24,4481.77,4488.83,1960
2026-05-27 05:10:00,4488.84,4491.09,4485.16,4487.29,1111
2026-05-27 05:15:00,4487.33,4490.75,4486.42,4490.52,1279
2026-05-27 05:20:00,4490.55,4493.05,4490.32,4492.21,1001
2026-05-27 05:25:00,4492.2,4496.18,4491.95,4495.1,1210
2026-05-27 05:30:00,4495.09,4498.28,4494.01,4497.27,1061
2026-05-27 05:35:00,4497.25,4497.26,4495.11,4496.35,1002
2026-05-27 05:40:00,4496.34,4496.68,4495.01,4495.96,861
2026-05-27 05:45:00,4495.95,4498.26,4495.94,4497.5,698
2026-05-27 05:50:00,4497.49,4499.42,4497.19,4498.52,945
2026-05-27 05:55:00,4498.5,4499.41,4498.01,4499.05,1134
2026-05-27 06:00:00,4499.07,4500.92,4497.6,4499.68,1295
2026-05-27 06:05:00,4499.71,4500.59,4498.54,4500.44,940
2026-05-27 06:10:00,4500.45,4500.91,4498.93,4499.21,719
2026-05-27 06:15:00,4499.22,4504.09,4499.19,4502.49,957
2026-05-27 06:20:00,4502.48,4504.23,4502.24,4503.08,885
2026-05-27 06:25:00,4503.11,4503.52,4501.01,4501.93,947
2026-05-27 06:30:00,4501.89,4503.77,4500.63,4503.59,955
2026-05-27 06:35:00,4503.6,4504.41,4502.9,4503.56,845
2026-05-27 06:40:00,4503.53,4505.77,4503.43,4504.63,868
2026-05-27 06:45:00,4504.62,4507.77,4503.99,4507.15,854
2026-05-27 06:50:00,4507.42,4507.79,4505.61,4505.74,1135
2026-05-27 06:55:00,4505.82,4509.95,4505.61,4508.85,2144
2026-05-27 07:00:00,4508.84,4510.49,4507.08,4507.47,888
2026-05-27 07:05:00,4507.45,4508.91,4506.16,4506.94,659
2026-05-27 07:10:00,4506.96,4507.95,4506.27,4507.91,334
2026-05-27 07:15:00,4507.94,4509.79,4507.92,4508.25,385
2026-05-27 07:20:00,4508.26,4509.17,4507.35,4508.69,341
2026-05-27 07:25:00,4508.71,4508.9,4506.09,4506.36,348
2026-05-27 07:30:00,4506.38,4507.7,4506.38,4506.46,231
2026-05-27 07:35:00,4506.42,4508.27,4506,4508.26,278
2026-05-27 07:40:00,4508.29,4509.63,4507.73,4508.63,244
2026-05-27 07:45:00,4508.67,4509.7,4506.14,4506.46,491
2026-05-27 07:50:00,4506.35,4506.53,4503.95,4506.37,494
2026-05-27 07:55:00,4506.28,4507.9,4506.05,4506.59,554
2026-05-27 09:00:00,4511.64,4513.4,4497.06,4503.95,265
